evalMode,method,seq_pos,pid,order,a,r,f,y,z,u,T1,class,weight,base_est,slack,deadline,aisle_switch,cum_time_end
aisle,DHGA,1,258,77,2,2,A,3,3,1,0.675920,urgent,5,2.093505,1.917100,4.013458,1,2.000920
aisle,DHGA,2,132,38,4,3,B,3,3,1,0.694480,urgent,5,2.093505,1.692861,3.544012,1,4.020400
aisle,DHGA,3,133,39,16,16,A,1,2,1,0.780760,urgent,5,2.093505,1.941113,4.063730,1,6.126160
aisle,DHGA,4,268,80,15,14,B,1,1,2,0.641640,urgent,5,2.093505,1.811986,3.793401,1,8.092800
aisle,DHGA,5,187,56,15,14,B,3,1,1,0.673440,medium,2,4.123914,3.448026,14.219365,0,8.766240
aisle,DHGA,6,162,48,11,11,A,2,3,2,0.832360,medium,2,2.093505,3.758540,7.868522,1,10.923600
aisle,DHGA,7,53,16,11,10,B,2,4,2,0.926400,loose,1,2.093505,8.105732,16.969389,0,11.850000
aisle,DHGA,8,167,51,11,10,B,3,2,2,0.722400,medium,2,8.007323,3.625159,29.027818,0,12.572400
aisle,DHGA,9,86,25,11,10,B,1,3,1,0.782000,medium,2,6.094233,3.606049,21.976104,0,13.354400
aisle,DHGA,10,44,13,11,11,A,1,4,2,0.923760,medium,2,2.093505,4.349890,9.106517,0,14.278160
aisle,DHGA,11,3,2,21,20,B,1,4,2,1.090800,loose,1,8.007323,7.456941,59.710135,1,16.693960
aisle,DHGA,12,26,7,21,20,B,3,2,1,0.897400,loose,1,9.865909,9.068577,89.469750,0,17.591360
aisle,DHGA,13,27,8,21,20,B,2,1,2,0.774200,medium,2,8.007323,4.490935,35.960367,0,18.365560
aisle,DHGA,14,28,8,21,20,B,2,3,2,0.999400,medium,2,8.007323,4.490935,35.960367,0,19.364960
aisle,DHGA,15,30,8,21,20,B,2,4,2,1.112000,medium,2,8.007323,4.490935,35.960367,0,20.476960
aisle,DHGA,16,88,26,21,20,B,3,3,1,1.010000,medium,2,6.094233,3.810253,23.220573,0,21.486960
aisle,DHGA,17,145,43,21,20,B,1,2,2,0.865600,loose,1,2.093505,7.075892,14.813415,0,22.352560
aisle,DHGA,18,247,72,21,20,B,1,1,1,0.742400,loose,1,6.094233,7.303651,44.510153,0,23.094960
aisle,DHGA,19,180,55,21,20,B,2,3,1,0.988800,urgent,5,11.672586,1.603029,18.711499,0,24.083760
aisle,DHGA,20,181,55,21,20,B,2,2,1,0.876200,urgent,5,11.672586,1.603029,18.711499,0,24.959960
aisle,DHGA,21,22,7,21,20,B,1,3,1,0.967600,loose,1,9.865909,9.068577,89.469750,0,25.927560
aisle,DHGA,22,182,55,21,20,B,1,3,2,0.978200,urgent,5,11.672586,1.603029,18.711499,0,26.905760
aisle,DHGA,23,2,2,21,20,B,3,3,2,1.020600,loose,1,8.007323,7.456941,59.710135,0,27.926360
aisle,DHGA,24,185,55,21,20,B,3,4,2,1.133200,urgent,5,11.672586,1.603029,18.711499,0,29.059560
aisle,DHGA,25,212,63,21,20,B,1,1,2,0.753000,loose,1,9.865909,8.220331,81.101036,0,29.812560
aisle,DHGA,26,217,64,21,20,B,1,2,1,0.855000,loose,1,9.865909,6.883908,67.916012,0,30.667560
aisle,DHGA,27,234,69,21,20,B,2,2,2,0.886800,loose,1,11.672586,8.112450,94.693272,0,31.554360
aisle,DHGA,28,4,2,1,1,A,2,4,2,0.759360,loose,1,8.007323,7.456941,59.710135,1,33.638720
aisle,DHGA,29,63,19,1,1,A,1,1,2,0.400360,loose,1,9.865909,8.319110,82.075582,0,34.039080
aisle,DHGA,30,64,19,1,1,A,1,4,1,0.727560,loose,1,9.865909,8.319110,82.075582,0,34.766640
aisle,DHGA,31,155,46,1,1,A,3,1,1,0.432160,loose,1,11.672586,8.798572,102.702084,0,35.198800
aisle,DHGA,32,160,46,1,1,A,2,2,2,0.534160,loose,1,11.672586,8.798572,102.702084,0,35.732960
aisle,DHGA,33,175,52,1,1,A,2,2,1,0.523560,medium,2,13.429826,3.940697,52.922879,0,36.256520
aisle,DHGA,34,225,67,1,1,A,1,2,2,0.512960,loose,1,9.865909,7.905959,77.999470,0,36.769480
aisle,DHGA,35,226,67,1,1,A,3,2,1,0.544760,loose,1,9.865909,7.905959,77.999470,0,37.314240
aisle,DHGA,36,229,68,1,1,A,3,1,2,0.442760,loose,1,6.094233,7.976910,48.613150,0,37.757000
aisle,DHGA,37,231,68,1,1,A,2,4,1,0.748760,loose,1,6.094233,7.976910,48.613150,0,38.505760
aisle,DHGA,38,235,69,1,1,A,3,2,2,0.555360,loose,1,11.672586,8.112450,94.693272,0,39.061120
aisle,DHGA,39,267,79,1,1,A,1,1,1,0.389760,loose,1,8.007323,9.361166,74.957879,0,39.450880
aisle,DHGA,40,273,83,1,1,A,2,1,1,0.410960,loose,1,6.094233,9.431478,57.477629,0,39.861840
aisle,DHGA,41,87,26,1,1,A,3,4,1,0.769960,medium,2,6.094233,3.810253,23.220573,0,40.631800
aisle,DHGA,42,186,56,13,13,A,1,3,1,0.837680,medium,2,4.123914,3.448026,14.219365,1,42.794480
aisle,DHGA,43,41,12,13,12,B,1,4,2,0.942320,loose,1,8.007323,9.185682,73.552724,0,43.736800
aisle,DHGA,44,5,2,13,13,A,2,4,2,0.982080,loose,1,8.007323,7.456941,59.710135,0,44.718880
aisle,DHGA,45,79,23,13,13,A,3,4,2,1.003280,loose,1,6.094233,9.397097,57.268101,0,45.722160
aisle,DHGA,46,148,44,13,12,B,2,2,1,0.727720,loose,1,9.865909,8.870398,87.514542,0,46.449880
aisle,DHGA,47,204,61,13,13,A,1,4,1,0.950280,loose,1,6.094233,8.976882,54.707216,0,47.400160
aisle,DHGA,48,260,78,13,12,B,1,3,2,0.829720,loose,1,9.865909,8.759641,86.421820,0,48.229880
aisle,DHGA,49,270,82,13,13,A,1,2,1,0.725080,loose,1,6.094233,7.887403,48.067677,0,48.954960
aisle,DHGA,50,287,86,13,13,A,2,3,1,0.858880,loose,1,9.865909,7.718536,76.150376,0,49.813840
aisle,DHGA,51,130,37,13,12,B,3,4,2,0.984720,medium,2,13.429826,3.338419,44.834391,0,50.798560
aisle,DHGA,52,152,45,13,12,B,3,1,1,0.636320,medium,2,8.007323,3.873341,31.015096,0,51.434880
aisle,DHGA,53,168,51,13,12,B,3,1,2,0.646920,medium,2,8.007323,3.625159,29.027818,0,52.081800
aisle,DHGA,54,32,9,13,13,A,1,3,2,0.848280,medium,2,6.094233,4.677235,28.504161,0,52.930080
aisle,DHGA,55,12,5,13,13,A,3,1,1,0.654880,loose,1,8.007323,9.250194,74.069295,0,53.584960
aisle,DHGA,56,73,21,12,12,A,1,1,1,0.593920,loose,1,8.007323,7.194422,57.608059,1,55.503880
aisle,DHGA,57,54,17,12,12,A,3,3,2,0.872120,loose,1,6.094233,8.550253,52.107238,0,56.376000
aisle,DHGA,58,95,29,12,11,B,3,1,2,0.628360,loose,1,2.093505,6.735994,14.101837,0,57.004360
aisle,DHGA,59,151,45,12,12,A,1,3,2,0.829720,medium,2,8.007323,3.873341,31.015096,0,57.834080
aisle,DHGA,60,13,5,12,11,B,2,4,2,0.944960,loose,1,8.007323,9.250194,74.069295,0,58.779040
aisle,DHGA,61,85,25,12,11,B,2,3,1,0.821760,medium,2,6.094233,3.606049,21.976104,0,59.600800
aisle,DHGA,62,14,5,14,14,A,2,3,1,0.877440,loose,1,8.007323,9.250194,74.069295,1,61.803240
aisle,DHGA,63,272,82,14,14,A,3,4,2,1.021840,loose,1,6.094233,7.887403,48.067677,0,62.825080
aisle,DHGA,64,280,85,14,14,A,3,3,2,0.909240,loose,1,6.094233,7.758209,47.280336,0,63.734320
aisle,DHGA,65,255,75,14,13,B,3,3,1,0.880080,loose,1,4.123914,9.032957,37.251141,0,64.614400
aisle,DHGA,66,129,37,14,14,A,2,2,2,0.775440,medium,2,13.429826,3.338419,44.834391,0,65.389840
aisle,DHGA,67,257,76,14,13,B,2,1,1,0.633680,urgent,5,4.123914,1.614156,6.656641,0,66.023520
aisle,DHGA,68,76,22,14,14,A,3,3,1,0.898640,medium,2,9.865909,4.310064,42.522703,0,66.922160
aisle,DHGA,69,193,58,14,13,B,2,3,1,0.858880,loose,1,13.429826,9.166272,123.101435,0,67.781040
aisle,DHGA,70,194,58,14,14,A,2,1,2,0.662840,loose,1,13.429826,9.166272,123.101435,0,68.443880
aisle,DHGA,71,196,58,14,13,B,3,1,1,0.654880,loose,1,13.429826,9.166272,123.101435,0,69.098760
aisle,DHGA,72,197,58,14,14,A,1,4,1,0.968840,loose,1,13.429826,9.166272,123.101435,0,70.067600
aisle,DHGA,73,251,74,14,13,B,1,4,1,0.950280,loose,1,9.865909,6.957722,68.644246,0,71.017880
