evalMode,method,seq_pos,pid,order,a,r,f,y,z,u,T1,class,weight,base_est,slack,deadline,aisle_switch,cum_time_end
aisle,Greedy,1,21,6,10,9,B,2,1,1,0.559440,medium,2,11.672586,3.444210,40.202842,0,0.559440
aisle,Greedy,2,34,10,10,10,A,1,3,2,0.792600,medium,2,4.123914,4.522618,18.650891,0,1.352040
aisle,Greedy,3,35,10,10,9,B,2,4,1,0.897240,medium,2,4.123914,4.522618,18.650891,0,2.249280
aisle,Greedy,4,51,15,10,9,B,1,3,1,0.763440,urgent,5,13.429826,1.817828,24.413110,0,3.012720
aisle,Greedy,5,59,18,10,9,B,3,2,2,0.703840,medium,2,6.094233,4.033220,24.579384,0,3.716560
aisle,Greedy,6,106,32,10,10,A,3,4,1,0.937000,urgent,5,6.094233,1.651622,10.065371,0,4.653560
aisle,Greedy,7,112,33,10,9,B,3,3,2,0.816440,urgent,5,9.865909,1.860687,18.357366,0,5.470000
aisle,Greedy,8,113,33,10,9,B,1,2,2,0.661440,urgent,5,9.865909,1.860687,18.357366,0,6.131440
aisle,Greedy,9,119,35,10,10,A,1,1,1,0.556800,urgent,5,9.865909,1.767416,17.437169,0,6.688240
aisle,Greedy,10,150,44,10,10,A,1,1,2,0.567400,loose,1,9.865909,8.870398,87.514542,0,7.255640
aisle,Greedy,11,153,45,10,9,B,2,3,2,0.795240,medium,2,8.007323,3.873341,31.015096,0,8.050880
aisle,Greedy,12,169,51,10,10,A,3,1,1,0.599200,medium,2,8.007323,3.625159,29.027818,0,8.650080
aisle,Greedy,13,174,52,10,10,A,3,2,1,0.711800,medium,2,13.429826,3.940697,52.922879,0,9.361880
aisle,Greedy,14,177,52,10,9,B,2,2,1,0.672040,medium,2,13.429826,3.940697,52.922879,0,10.033920
aisle,Greedy,15,205,61,10,10,A,1,2,1,0.669400,loose,1,6.094233,8.976882,54.707216,0,10.703320
aisle,Greedy,16,214,63,10,9,B,3,2,1,0.693240,loose,1,9.865909,8.220331,81.101036,0,11.396560
aisle,Greedy,17,248,73,10,10,A,3,1,2,0.609800,loose,1,2.093505,6.772130,14.177487,0,12.006360
aisle,Greedy,18,254,75,10,9,B,1,3,2,0.774040,loose,1,4.123914,9.032957,37.251141,0,12.780400
aisle,Greedy,19,2,2,21,20,B,3,3,2,1.020600,loose,1,8.007323,7.456941,59.710135,1,15.126000
aisle,Greedy,20,3,2,21,20,B,1,4,2,1.090800,loose,1,8.007323,7.456941,59.710135,0,16.216800
aisle,Greedy,21,22,7,21,20,B,1,3,1,0.967600,loose,1,9.865909,9.068577,89.469750,0,17.184400
aisle,Greedy,22,26,7,21,20,B,3,2,1,0.897400,loose,1,9.865909,9.068577,89.469750,0,18.081800
aisle,Greedy,23,27,8,21,20,B,2,1,2,0.774200,medium,2,8.007323,4.490935,35.960367,0,18.856000
